key	text	tooltip
#Loc;1;text/db/EAS_trade_settlements.loc		
EAS_trade_panel_title_text_loc	Exchange Allied Settlements	true
EAS_trade_deal_loc	Transfer Summary	true
EAS_trade_mpfactions_desc_label_loc	Choose your faction :	true
EAS_trade_factions_desc_label_loc	Choose the faction you want to trade with :	true
no_faction_label_loc	No faction to trade with	true
EAS_trade_factions_selected_context_display_loc	No factions to give	true
EAS_trade_receiver_selected_context_display_loc	No factions to receive	true
EAS_trade_their_attitude_label_loc	[[img:icon_non-aggression_pact]][[/img]] Select a City	true
EAS_trade_their_selected_context_display_loc	[[img:icon_non-aggression_pact]][[/img]] Select a City	true
EAS_trade_panel_confirma_loc	Select at least one region to trade	true
EAS_trade_panel_confirmb_loc	Click to confirm the trade	true
EAS_trade_panel_cancel_loc	Close panel	true
EAS_trade_panel_button_loc	Exchange Allied Settlements	true
EAS_trade_panel_giving_ally_loc	Giving Ally	true
EAS_trade_panel_receiving_ally_loc	Receiving Ally	true
mct_EAS_title	Exchange Allied Settlements	true
mct_EAS_description	A mod that adds in a user interface that allows the user to transfer settlements from one ally to another, or force two allies of the same race to confederate together.	true
mct_EAS_allow_player_cities_text	Allow trading to and from the player	true
mct_EAS_allow_player_cities_tooltip	If enabled, you and your allies can send cities to and from your faction. If disabled, cities can only be traded between your allied factions, not involving your own.	true
EAS_trade_panel_confederate_loc	Confederate	true
EAS_trade_panel_confederate_tooltip_loc	Confederate the giving faction into the receiving faction.\\n[[col:red]]WARNING: This will cause all cities and armies of %s to be annexed by %s. Presing this button will cause %s to cease to exist![[/col]]	true
